markets,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,popularity
152.0,220706.0,0.00428,0.467,0.774,0.00134,0.158,-10.617,0.0515,109.529,0.324,4.0,0.0,4.0,1.0,42
185.0,302693.0,0.111,0.461,0.246,0.000374,0.0963,-13.487,0.0298,88.446,0.178,0.0,1.0,4.0,1.0,49
185.0,273813.0,4.63e-05,0.163,0.937,0.00297,0.372,-5.502,0.0882,184.482,0.413,0.0,1.0,4.0,1.0,44
183.0,303586.0,0.29,0.504,0.354,4.71e-06,0.157,-11.3,0.0339,140.87,0.292,4.0,1.0,4.0,1.0,75
183.0,303586.0,0.29,0.504,0.354,4.71e-06,0.157,-11.3,0.0339,140.87,0.292,4.0,1.0,4.0,1.0,74
183.0,303586.0,0.29,0.504,0.354,4.71e-06,0.157,-11.3,0.0339,140.87,0.292,4.0,1.0,4.0,1.0,73
185.0,179800.0,0.423,0.349,0.869,0.0,0.76,-11.481,0.0934,127.44,0.193,4.0,1.0,4.0,1.0,32
185.0,152706.0,4.79e-05,0.354,0.941,0.66,0.331,-6.984,0.0737,131.442,0.569,1.0,1.0,4.0,1.0,43
184.0,313946.0,0.00671,0.426,0.94,1.72e-06,0.14,-5.279,0.0424,144.472,0.466,7.0,0.0,4.0,1.0,67
184.0,318586.0,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,105.435,0.147,6.0,1.0,4.0,1.0,68
184.0,318586.0,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,105.435,0.147,6.0,1.0,4.0,1.0,65
185.0,203000.0,0.225,0.632,0.742,0.00115,0.138,-6.785,0.0342,119.509,0.725,10.0,1.0,4.0,1.0,41
185.0,340907.0,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009,0.595,11.0,0.0,4.0,1.0,75
185.0,340907.0,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009,0.595,11.0,0.0,4.0,1.0,74
185.0,340907.0,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,75.009,0.595,11.0,0.0,4.0,1.0,73
185.0,246226.0,3.37e-05,0.192,0.908,0.000162,0.279,-9.127,0.072,201.254,0.481,7.0,1.0,4.0,1.0,44
184.0,384466.0,0.0576,0.304,0.769,9.14e-06,0.373,-6.672,0.0334,148.736,0.285,0.0,1.0,3.0,1.0,54
184.0,217813.0,1.39e-06,0.406,0.925,0.624,0.0418,-7.336,0.041,134.252,0.773,9.0,1.0,4.0,1.0,67
169.0,271333.0,0.000689,0.217,0.736,2.46e-06,0.0821,-7.309,0.0409,130.404,0.246,9.0,0.0,4.0,1.0,23
181.0,294760.0,1.38e-05,0.232,0.876,0.258,0.255,-8.287,0.0415,103.556,0.133,2.0,1.0,4.0,1.0,26
